id,sale_id,invoice_id,sale_date,customer_id,product_id,quantity,unit_price,total_price,channel,store_location,payment_method,first_name,last_name,email,phone,city,registration_date,loyalty_tier,birth_year
45729,27,INV-202301-00027,2023-01-19,4229.0,1088,1,100.57,100.57,pood,Tartu,järelmaks,,,,,,,,
45730,28,INV-202301-00028,2023-01-28,3458.0,1148,1,48.85,48.85,pood,Pärnu,kaart,,,,,,,,
45731,29,INV-202301-00029,2023-01-20,4924.0,1014,1,121.78,147.58,pood,Pärnu,järelmaks,,,,,,,,
45732,30,INV-202301-00030,2023-01-21,3761.0,1206,1,22.7,22.7,pood,Tartu,sularaha,,,,,,,,
45733,31,INV-202301-00031,2023-01-31,2120.0,1341,1,45.21,45.21,pood,Tartu,järelmaks,Grete,Kukk,grete.kukk@hot.ee,+372 8598 3456,Valga,2022-07-05,,1961.0
45734,32,INV-202301-00032,2023-01-22,2423.0,1188,2,184.07,368.14,pood,Tallinn,järelmaks,Kristjan,Sild,kristjan.sild@mail.ee,+372 5252 1798,Jõhvi,2021-12-07,,1986.0
45735,33,INV-202301-00033,2023-01-08,2331.0,1084,2,156.13,312.26,pood,Tallinn,järelmaks,Katrin,Kivi,katrin.kivi@mail.ee,+372 5323 3709,Tallinn,2020-05-08,,1986.0
45737,35,INV-202301-00035,2023-01-04,2339.0,1347,2,246.97,493.94,pood,Tallinn,kaart,Margus,Lass,margus.lass@outlook.com,+372 5567 1285,Kuressaare,2020-12-10,bronze,1970.0
45738,36,INV-202301-00036,2023-01-15,2285.0,1288,2,138.9,277.8,pood,Tallinn,kaart,Maie,Pärn,maie.parn@hot.ee,+372 5388 2107,Pärnu,2021-06-13,bronze,1972.0
45739,37,INV-202301-00037,2023-01-23,4867.0,1155,1,209.05,209.05,online,,kaart,,,,,,,,
45740,38,INV-202301-00038,2023-01-16,4145.0,1099,1,86.8,86.8,pood,Tartu,järelmaks,,,,,,,,
45741,39,INV-202301-00039,2023-01-16,3629.0,1013,2,218.99,437.98,pood,Tallinn,kaart,,,,,,,,
45742,40,INV-202301-00040,2023-01-29,4893.0,1243,2,184.02,368.04,online,,sularaha,,,,,,,,
45743,41,INV-202301-00041,2023-01-07,4239.0,1305,4,50.77,203.08,pood,Tallinn,sularaha,,,,,,,,
45745,43,INV-202301-00043,2023-01-19,2247.0,1064,1,95.87,95.87,pood,Tallinn,sularaha,Külli,Pihl,kulli.pihl@hot.ee,+372 5108 9802,Jõhvi,2020-01-22,silver,1976.0
45746,44,INV-202301-00044,2023-01-26,4612.0,1060,1,253.26,253.26,online,,järelmaks,,,,,,,,
45747,45,INV-202301-00045,2023-01-08,4150.0,1258,3,84.41,253.23,pood,Tartu,järelmaks,,,,,,,,
45748,46,INV-202301-00046,2023-01-14,3648.0,1104,2,191.48,382.96,online,,sularaha,,,,,,,,
45749,47,INV-202301-00047,2023-01-07,3457.0,1345,1,225.81,225.81,pood,Tallinn,sularaha,,,,,,,,
45750,48,INV-202301-00048,2023-01-01,3514.0,1065,1,48.58,48.58,pood,Tallinn,järelmaks,,,,,,,,
45751,49,INV-202301-00049,2023-01-12,4755.0,1221,1,350.19,350.19,online,,järelmaks,,,,,,,,
45752,50,INV-202301-00050,2023-01-28,2025.0,1092,1,144.2,144.2,pood,Tallinn,sularaha,Väino,Lepik,vaino.lepik@gmail.com,+372 5449 1787,Tallinn,2022-06-30,,1982.0
45753,51,INV-202301-00051,2023-01-07,3493.0,1247,1,29.48,29.48,pood,Tallinn,sularaha,,,,,,,,
45754,52,INV-202301-00052,2023-01-15,2574.0,1340,4,229.01,916.04,online,,kaart,Aivar,Nurk,aivar.nurk@outlook.com,+372 5987 9960,Jõhvi,2021-08-01,gold,1981.0
45755,53,INV-202301-00053,2023-01-02,2927.0,1238,2,72.73,145.46,pood,Tallinn,sularaha,Rasmus,Männik,rasmus.mannik2@gmail.com,+372 5941 5773,Tallinn,2022-09-23,silver,1961.0
45756,54,INV-202301-00054,2023-01-06,3764.0,1153,1,79.59,79.59,online,,kaart,,,,,,,,
45758,56,INV-202301-00056,2023-01-28,4517.0,1333,1,218.54,218.54,pood,Tallinn,järelmaks,,,,,,,,
45759,57,INV-202301-00057,2023-01-31,2317.0,1136,2,94.25,188.5,online,,sularaha,Pille,Raud,pille.raud@gmail.com,+372 8165 0599,Haapsalu,2021-09-19,,1968.0
45760,58,INV-202301-00058,2023-01-19,4206.0,1350,1,270.69,270.69,pood,Pärnu,kaart,,,,,,,,
45761,59,INV-202301-00059,2023-01-14,4490.0,1228,5,160.71,803.55,pood,Tallinn,järelmaks,,,,,,,,
45762,60,INV-202301-00060,2023-01-18,3633.0,1272,1,183.31,183.31,pood,Tartu,sularaha,,,,,,,,
45763,61,INV-202301-00061,2023-01-10,3123.0,1055,1,65.6,65.6,online,,sularaha,,,,,,,,
45764,62,INV-202301-00062,2023-01-16,3530.0,1350,1,270.69,270.69,online,,kaart,,,,,,,,
45765,63,INV-202301-00063,2023-01-09,4542.0,1213,2,132.3,264.6,pood,Tartu,järelmaks,,,,,,,,
45766,64,INV-202301-00064,2023-01-30,2638.0,1311,1,153.11,153.11,pood,Tallinn,järelmaks,Kristjan,Raid,kristjan.raid@telia.ee,+372 8456 5001,Jõhvi,2020-05-18,silver,2003.0
45767,65,INV-202301-00065,2023-01-14,2767.0,1275,1,62.82,62.82,pood,Tartu,järelmaks,Kaido,Mitt,kaido.mitt@mail.ee,+372 8839 8340,Rakvere,2020-08-30,silver,1977.0
45768,66,INV-202301-00066,2023-01-03,2017.0,1189,1,58.49,58.49,pood,Tallinn,järelmaks,Kadri,Vaher,kadri.vaher@telia.ee,+372 5326 4116,Viljandi,2022-05-20,silver,1965.0
45769,67,INV-202301-00067,2023-01-14,3163.0,1075,3,278.59,835.77,online,,järelmaks,,,,,,,,
45770,68,INV-202301-00068,2023-01-22,3452.0,1002,1,274.78,274.78,online,,järelmaks,,,,,,,,
45771,69,INV-202301-00069,2023-01-01,2230.0,1050,1,145.72,145.72,pood,Tartu,järelmaks,Jüri,Veski,juri.veski@mail.ee,+372 8818 7000,Tallinn,2021-06-01,gold,1992.0
45772,70,INV-202301-00070,2023-01-20,4255.0,1240,1,356.57,356.57,pood,Tallinn,kaart,,,,,,,,
45773,71,INV-202301-00071,2023-01-31,2734.0,1119,2,181.68,363.36,online,,järelmaks,Marika,Orav,marika.orav@mail.ee,+372 5117 3481,Tallinn,2020-11-15,,1974.0
45774,72,INV-202301-00072,2023-01-29,3953.0,1023,2,38.7,77.4,pood,Tallinn,sularaha,,,,,,,,
45775,73,INV-202301-00073,2023-01-18,3789.0,1183,2,231.13,462.26,pood,Pärnu,kaart,,,,,,,,
45777,75,INV-202301-00075,2023-01-05,4454.0,1290,4,105.23,420.92,online,,sularaha,,,,,,,,
45778,76,INV-202301-00076,2023-01-26,2755.0,1259,4,229.55,918.2,online,,kaart,Merike,Nõmm,merike.nomm@yahoo.com,+372 8548 9356,Jõhvi,2020-08-19,,1977.0
45779,77,INV-202301-00077,2023-01-04,4178.0,1275,3,62.82,188.46,online,,sularaha,,,,,,,,
45781,79,INV-202301-00079,2023-01-02,4896.0,1289,2,171.33,342.66,pood,Tallinn,sularaha,,,,,,,,
45782,80,INV-202301-00080,2023-01-17,4259.0,1053,1,113.86,113.86,pood,Tartu,sularaha,,,,,,,,
45783,81,INV-202301-00081,2023-01-18,3011.0,1156,1,221.89,221.89,online,,järelmaks,,,,,,,,
45784,82,INV-202301-00082,2023-01-11,3251.0,1001,2,157.49,314.98,pood,Tallinn,järelmaks,,,,,,,,
45785,83,INV-202301-00083,2023-01-02,4624.0,1198,2,291.72,583.44,pood,Tallinn,kaart,,,,,,,,
45786,84,INV-202301-00084,2023-01-28,4952.0,1160,1,368.67,368.67,pood,Tallinn,järelmaks,,,,,,,,
45787,85,INV-202301-00085,2023-01-04,2609.0,1243,1,184.02,184.02,pood,Pärnu,sularaha,Taavi,Pihl,taavi.pihl@mail.ee,+372 8856 8388,Haapsalu,2022-01-01,gold,2005.0
45788,86,INV-202301-00086,2023-01-29,2890.0,1118,1,109.42,109.42,pood,Pärnu,järelmaks,Kristiina,Veski,kristiina.veski@mail.ee,+372 8876 2347,Tallinn,2022-02-10,gold,1986.0
45789,87,INV-202301-00087,2023-01-07,2677.0,1070,1,139.74,139.74,pood,Tallinn,kaart,Ants,Valk,ants.valk@mail.ee,+372 5955 1117,Pärnu,2022-03-29,silver,1981.0
45790,88,INV-202301-00088,2023-01-04,4001.0,1082,2,100.93,201.86,pood,Tallinn,kaart,,,,,,,,
45791,89,INV-202301-00089,2023-01-31,2889.0,1275,2,62.82,125.64,pood,Tallinn,kaart,Laura,Tammik,laura.tammik@yahoo.com,+372 5110 1634,Pärnu,2022-10-16,silver,1965.0
45792,90,INV-202301-00090,2023-01-09,2206.0,1200,2,105.29,210.58,pood,Pärnu,kaart,Ago,Lõoke,,+372 5135 5389,Viljandi,2020-01-20,,1961.0
45793,91,INV-202301-00091,2023-01-15,4238.0,1107,2,279.43,558.86,pood,Tartu,järelmaks,,,,,,,,
45794,92,INV-202301-00092,2023-01-29,2704.0,1142,2,307.27,614.54,pood,Tallinn,järelmaks,Peeter,Järv,peeter.jarv@mail.ee,+372 5733 4082,Pärnu,2022-08-25,,1962.0
45795,93,INV-202301-00093,2023-01-24,4131.0,1003,2,52.04,104.08,pood,Tallinn,järelmaks,,,,,,,,
45796,94,INV-202301-00094,2023-01-28,3261.0,1319,1,290.55,290.55,pood,Pärnu,sularaha,,,,,,,,
45797,95,INV-202301-00095,2023-01-03,4000.0,1227,2,120.17,240.34,online,,järelmaks,,,,,,,,
45798,96,INV-202301-00096,2023-01-21,3605.0,1071,1,237.71,237.71,online,,kaart,,,,,,,,
45799,97,INV-202301-00097,2023-01-20,4597.0,1312,3,243.93,731.79,pood,Tartu,kaart,,,,,,,,
45800,98,INV-202301-00098,2023-01-03,2472.0,1034,1,207.23,207.23,pood,Tartu,järelmaks,Heino,Pihl,heino.pihl@telia.ee,+372 5445 1891,Tartu,2022-09-26,,1969.0
45801,99,INV-202301-00099,2023-01-08,4264.0,1080,1,51.5,51.5,pood,Tallinn,sularaha,,,,,,,,
45802,100,INV-202301-00100,2023-01-24,3350.0,1136,2,94.25,188.5,pood,Tallinn,järelmaks,,,,,,,,
45803,101,INV-202301-00101,2023-01-10,2668.0,1040,1,96.11,96.11,pood,Tartu,järelmaks,Rasmus,Männik,rasmus.mannik@gmail.com,+372 8646 0642,Tallinn,2020-03-09,,1978.0
45804,102,INV-202301-00102,2023-01-24,3648.0,1350,1,270.69,270.69,online,,kaart,,,,,,,,
45805,103,INV-202301-00103,2023-01-23,4276.0,1155,1,209.05,209.05,pood,Tallinn,järelmaks,,,,,,,,
45806,104,INV-202301-00104,2023-01-24,4217.0,1337,2,272.05,544.1,pood,Tallinn,järelmaks,,,,,,,,
45807,105,INV-202301-00105,2023-01-04,2396.0,1138,2,130.73,261.46,pood,Tallinn,sularaha,Heino,Aas,heino.aas@mail.ee,+372 8896 7501,Narva,2022-02-18,gold,1999.0
45808,106,INV-202301-00106,2023-01-03,3767.0,1277,1,121.51,121.51,pood,Tartu,kaart,,,,,,,,
45809,107,INV-202301-00107,2023-01-10,3837.0,1108,1,371.05,371.05,pood,Tallinn,sularaha,,,,,,,,
45810,108,INV-202301-00108,2023-01-08,3398.0,1139,1,106.71,106.71,pood,Tallinn,kaart,,,,,,,,
45811,109,INV-202301-00109,2023-01-28,2735.0,1246,1,204.87,204.87,online,,sularaha,Maie,Koppel,maie.koppel@telia.ee,+372 5588 2134,Tallinn,2021-05-17,gold,1996.0
45812,110,INV-202301-00110,2023-01-10,3119.0,1289,1,171.33,171.33,online,,kaart,,,,,,,,
45813,111,INV-202301-00111,2023-01-31,3556.0,1256,1,296.4,296.4,pood,Tallinn,sularaha,,,,,,,,
45814,112,INV-202301-00112,2023-01-06,3165.0,1170,1,158.51,158.51,pood,Tartu,järelmaks,,,,,,,,
45815,113,INV-202301-00113,2023-01-08,2095.0,1295,1,375.34,375.34,online,,järelmaks,Madis,Lill,madis.lill@telia.ee,+372 5401 9865,Kuressaare,2020-02-19,gold,1994.0
45816,114,INV-202301-00114,2023-01-25,2304.0,1283,1,188.91,188.91,pood,Tallinn,järelmaks,Tiit,Rosin,tiit.rosin@mail.ee,+372 5270 3518,Tallinn,2021-02-27,bronze,1988.0
45817,115,INV-202301-00115,2023-01-12,2759.0,1032,2,198.42,396.84,pood,Tallinn,järelmaks,Erkki,Saar,erkki.saar@gmail.com,+372 5645 6647,Pärnu,2022-05-30,,1981.0
45818,116,INV-202301-00116,2023-01-01,2441.0,1223,4,319.98,1279.92,pood,Tallinn,järelmaks,Kristjan,Paas,kristjan.paas@gmail.com,+372 5342 9348,Tallinn,2022-08-15,gold,1975.0
45819,117,INV-202301-00117,2023-01-29,2070.0,1109,2,116.2,232.4,pood,Tallinn,sularaha,Pille,Rebane,pille.rebane@gmail.com,+372 5724 8235,Haapsalu,2021-06-22,bronze,1998.0
45820,118,INV-202301-00118,2023-01-19,2439.0,1152,1,107.67,107.67,pood,Tallinn,järelmaks,Margus,Mitt,margus.mitt@yahoo.com,+372 8481 8428,Pärnu,2022-08-06,bronze,1972.0
45821,119,INV-202301-00119,2023-01-31,4312.0,1047,1,155.84,155.84,pood,Tallinn,sularaha,,,,,,,,
45822,120,INV-202301-00120,2023-01-04,3556.0,1114,1,74.7,74.7,pood,Tallinn,sularaha,,,,,,,,
45825,123,INV-202301-00123,2023-01-26,4105.0,1172,2,141.62,283.24,pood,Tallinn,sularaha,,,,,,,,
45826,124,INV-202301-00124,2023-01-17,4206.0,1055,5,65.6,328.0,pood,Pärnu,sularaha,,,,,,,,
45827,125,INV-202301-00125,2023-01-30,4141.0,1017,2,153.62,307.24,pood,Tallinn,järelmaks,,,,,,,,
45829,127,INV-202301-00127,2023-01-17,4372.0,1214,1,250.17,250.17,pood,Pärnu,järelmaks,,,,,,,,
45830,128,INV-202301-00128,2023-01-27,3899.0,1178,1,105.09,105.09,pood,Tallinn,sularaha,,,,,,,,
45833,131,INV-202301-00131,2023-01-14,4315.0,1160,2,368.67,737.34,pood,Tartu,kaart,,,,,,,,
45834,132,INV-202301-00132,2023-01-19,2635.0,1187,2,252.33,504.66,pood,Tallinn,sularaha,Hille,Tamm,hille.tamm@outlook.com,+372 8706 3017,Pärnu,2021-07-30,gold,1968.0
45835,133,INV-202301-00133,2023-01-28,2272.0,1225,1,116.87,116.87,pood,Pärnu,järelmaks,Taavi,Pihl,taavi.pihl@hot.ee,+372 5525 6986,Võru,2020-07-05,,1975.0
45836,134,INV-202301-00134,2023-01-20,4146.0,1217,2,34.04,68.08,online,,kaart,,,,,,,,
45837,135,INV-202301-00135,2023-01-02,4220.0,1240,1,356.57,356.57,pood,Tallinn,sularaha,,,,,,,,
45838,136,INV-202301-00136,2023-01-21,2930.0,1290,3,105.23,315.69,pood,Tartu,järelmaks,Priit,Kull,priit.kull@gmail.com,+372 5685 3319,Tallinn,2022-10-29,,1997.0
45839,137,INV-202301-00137,2023-01-22,3556.0,1153,1,79.59,79.59,pood,Tartu,järelmaks,,,,,,,,
45840,138,INV-202301-00138,2023-01-16,2377.0,1129,1,182.77,182.77,pood,Pärnu,järelmaks,Anu,Kivi,,+372 5545 0810,Valga,2021-07-03,bronze,1999.0
45842,140,INV-202301-00140,2023-01-25,3128.0,1187,2,252.33,504.66,pood,Tallinn,järelmaks,,,,,,,,
45843,141,INV-202301-00141,2023-01-14,4444.0,1330,3,167.23,501.69,pood,Pärnu,järelmaks,,,,,,,,
45844,142,INV-202301-00142,2023-01-11,3525.0,1154,2,190.81,381.62,pood,Tallinn,järelmaks,,,,,,,,
45845,143,INV-202301-00143,2023-01-14,2980.0,1136,3,94.25,282.75,online,,sularaha,Tarmo,Kask,tarmo.kask@telia.ee,+372 8814 1854,Tallinn,2021-06-26,,2005.0
45846,144,INV-202301-00144,2023-01-07,3446.0,1009,5,332.55,1662.75,pood,Tallinn,järelmaks,,,,,,,,
45847,145,INV-202301-00145,2023-01-07,3240.0,1215,3,160.91,482.73,pood,Tallinn,kaart,,,,,,,,
45848,146,INV-202301-00146,2023-01-02,2652.0,1327,2,110.7,221.4,pood,Tallinn,kaart,Heino,Mitt,heino.mitt@hot.ee,+372 5681 0937,Tallinn,2022-03-07,silver,2002.0
45849,147,INV-202301-00147,2023-01-17,3249.0,1274,3,234.79,704.37,pood,Tallinn,sularaha,,,,,,,,
45850,148,INV-202301-00148,2023-01-09,3995.0,1272,1,183.31,183.31,pood,Tartu,kaart,,,,,,,,
45851,149,INV-202301-00149,2023-01-05,2597.0,1332,1,81.85,81.85,online,,järelmaks,Erkki,Pihl,erkki.pihl@mail.ee,+372 8595 0645,Haapsalu,2022-06-21,bronze,1988.0
45852,150,INV-202301-00150,2023-01-18,3429.0,1216,1,273.06,273.06,online,,kaart,,,,,,,,
45853,151,INV-202301-00151,2023-01-03,3924.0,1157,2,91.22,182.44,online,,sularaha,,,,,,,,
45854,152,INV-202301-00152,2023-01-01,3556.0,1128,3,321.68,823.5,pood,Pärnu,kaart,,,,,,,,
45855,153,INV-202301-00153,2023-01-18,4833.0,1277,2,121.51,243.02,pood,Tallinn,sularaha,,,,,,,,
45856,154,INV-202301-00154,2023-01-21,2997.0,1209,5,252.1,1260.5,online,,järelmaks,,,,,,,,
45857,155,INV-202301-00155,2023-01-22,2761.0,1035,1,65.52,65.52,pood,Pärnu,sularaha,Külli,Org,kulli.org@telia.ee,+372 5849 7343,Pärnu,2021-08-19,bronze,1966.0
45858,156,INV-202301-00156,2023-01-01,4288.0,1204,1,63.95,63.95,pood,Tallinn,kaart,,,,,,,,
45859,157,INV-202301-00157,2023-01-05,3648.0,1338,1,282.29,282.29,pood,Tartu,järelmaks,,,,,,,,
45860,158,INV-202301-00158,2023-01-18,3692.0,1143,1,307.83,307.83,pood,Tartu,järelmaks,,,,,,,,
45861,159,INV-202301-00159,2023-01-09,3984.0,1083,1,72.14,72.14,pood,Tallinn,sularaha,,,,,,,,
45862,160,INV-202301-00160,2023-01-23,2265.0,1033,2,221.42,442.84,online,,järelmaks,Sander,Mägi,sander.magi@hot.ee,+372 5781 1599,Pärnu,2020-04-02,silver,1969.0
45863,161,INV-202301-00161,2023-01-02,4458.0,1128,1,274.5,274.5,pood,Tallinn,järelmaks,,,,,,,,
45864,162,INV-202301-00162,2023-01-07,2534.0,1016,2,54.81,109.62,pood,Pärnu,järelmaks,Sander,Sild,sander.sild@outlook.com,+372 8241 5166,Tallinn,2022-12-29,gold,1975.0
45867,165,INV-202301-00165,2023-01-26,4324.0,1047,1,155.84,155.84,online,,järelmaks,,,,,,,,
45868,166,INV-202301-00166,2023-01-18,3197.0,1117,2,72.58,145.16,online,,kaart,,,,,,,,
45869,167,INV-202301-00167,2023-01-26,3605.0,1104,3,191.48,574.44,pood,Tallinn,sularaha,,,,,,,,
45870,168,INV-202301-00168,2023-01-04,4556.0,1092,2,186.12,288.4,online,,kaart,,,,,,,,
45871,169,INV-202301-00169,2023-01-09,2976.0,1235,3,232.27,632.61,pood,Pärnu,sularaha,Arvo,Lepik,arvo.lepik@telia.ee,+372 5708 4826,Viljandi,2020-04-05,,1993.0
45873,171,INV-202301-00171,2023-01-22,4080.0,1346,3,258.91,776.73,pood,Tallinn,järelmaks,,,,,,,,
45874,172,INV-202301-00172,2023-01-11,2535.0,1323,1,151.08,151.08,pood,Pärnu,järelmaks,Eha,Hurt,eha.hurt@hot.ee,+372 5880 1271,Tallinn,2021-05-29,,1998.0
45875,173,INV-202301-00173,2023-01-14,3894.0,1305,1,50.77,50.77,pood,Tallinn,kaart,,,,,,,,
45876,174,INV-202301-00174,2023-01-24,2372.0,1229,2,210.76,421.52,pood,Tartu,kaart,Marko,Roots,marko.roots@gmail.com,+372 8579 6501,Narva,2022-01-01,gold,1986.0
45877,175,INV-202301-00175,2023-01-29,4949.0,1145,2,338.43,676.86,pood,Tallinn,kaart,,,,,,,,
45879,177,INV-202301-00177,2023-01-08,3921.0,1018,1,47.07,47.07,pood,Tallinn,kaart,,,,,,,,
45880,178,INV-202301-00178,2023-01-20,4321.0,1013,2,218.99,437.98,pood,Tartu,järelmaks,,,,,,,,
45881,179,INV-202301-00179,2023-01-27,4409.0,1292,1,74.81,74.81,online,,järelmaks,,,,,,,,
45882,180,INV-202301-00180,2023-01-10,2547.0,1011,1,53.99,53.99,pood,Tallinn,järelmaks,Väino,Kuusik,vaino.kuusik2@hot.ee,+372 8498 2268,Rakvere,2022-06-10,,1968.0
45883,181,INV-202301-00181,2023-01-17,4643.0,1274,1,234.79,234.79,pood,Tartu,kaart,,,,,,,,
45884,182,INV-202301-00182,2023-01-12,4480.0,1034,1,207.23,207.23,pood,Tartu,kaart,,,,,,,,
45885,183,INV-202301-00183,2023-01-19,4119.0,1304,2,210.36,420.72,pood,Pärnu,sularaha,,,,,,,,
45886,184,INV-202301-00184,2023-01-02,4677.0,1004,1,41.63,41.63,pood,Tartu,kaart,,,,,,,,
45887,185,INV-202301-00185,2023-01-05,2554.0,1182,1,180.14,180.14,online,,sularaha,Kristiina,Puusepp,kristiina.puusepp@mail.ee,+372 5602 9156,Tartu,2020-09-26,,1972.0
45888,186,INV-202301-00186,2023-01-23,2257.0,1181,2,142.57,285.14,pood,Tartu,sularaha,Katrin,Järv,katrin.jarv@mail.ee,+372 5841 4496,Tartu,2020-03-05,,1965.0
45889,187,INV-202301-00187,2023-01-16,4534.0,1039,1,282.95,282.95,online,,järelmaks,,,,,,,,
45890,188,INV-202301-00188,2023-01-05,2484.0,1072,2,95.39,190.78,online,,sularaha,Kersti,Liiv,kersti.liiv@gmail.com,+372 5919 2020,Tartu,2020-01-12,,1963.0
45891,189,INV-202301-00189,2023-01-19,3356.0,1279,1,66.21,66.21,online,,kaart,,,,,,,,
45892,190,INV-202301-00190,2023-01-05,3443.0,1017,3,153.62,460.86,online,,kaart,,,,,,,,
45893,191,INV-202301-00191,2023-01-20,4054.0,1209,2,252.1,504.2,pood,Tallinn,järelmaks,,,,,,,,
45894,192,INV-202301-00192,2023-01-05,2876.0,1211,2,225.28,450.56,online,,järelmaks,Sandra,Veski,sandra.veski@mail.ee,+372 8186 1726,Tallinn,2021-10-23,,1992.0
45895,193,INV-202301-00193,2023-01-20,3236.0,1267,1,66.88,66.88,pood,Tallinn,järelmaks,,,,,,,,
45898,196,INV-202301-00196,2023-01-20,3696.0,1060,5,253.26,1266.3,online,,järelmaks,,,,,,,,
45899,197,INV-202301-00197,2023-01-19,2954.0,1058,4,302.86,1211.44,pood,Tartu,sularaha,Kersti,Lõoke,,+372 5823 8561,Tallinn,2020-07-28,,1971.0
45900,198,INV-202301-00198,2023-01-09,3856.0,1243,1,184.02,184.02,pood,Tartu,kaart,,,,,,,,
45901,199,INV-202301-00199,2023-01-20,4745.0,1278,1,263.13,263.13,pood,Tallinn,sularaha,,,,,,,,
45903,201,INV-202301-00201,2023-01-08,3665.0,1076,1,89.29,89.29,pood,Tallinn,järelmaks,,,,,,,,
45904,202,INV-202301-00202,2023-01-31,2711.0,1291,2,219.83,439.66,pood,Tallinn,järelmaks,Taavi,Teder,taavi.teder@outlook.com,+372 5917 2892,Tartu,2021-11-09,gold,1980.0
45905,203,INV-202301-00203,2023-01-05,2577.0,1337,2,272.05,544.1,pood,Tallinn,sularaha,Heino,Laas,heino.laas@telia.ee,+372 8332 6248,Haapsalu,2022-08-24,,1979.0
45906,204,INV-202301-00204,2023-01-02,4119.0,1211,1,225.28,225.28,pood,Tallinn,kaart,,,,,,,,
45907,205,INV-202301-00205,2023-01-09,4768.0,1113,3,86.46,259.38,pood,Tallinn,sularaha,,,,,,,,
45908,206,INV-202301-00206,2023-01-05,4481.0,1218,2,108.09,216.18,online,,kaart,,,,,,,,
45909,207,INV-202301-00207,2023-01-04,4206.0,1030,1,112.68,112.68,pood,Pärnu,järelmaks,,,,,,,,
45910,208,INV-202301-00208,2023-01-19,3556.0,1008,3,280.13,840.39,pood,Pärnu,kaart,,,,,,,,
45912,210,INV-202301-00210,2023-01-06,3041.0,1043,2,128.44,256.88,pood,Tallinn,sularaha,,,,,,,,
